Student_ID,Gender,Study_Hours,Attendance,Assignment_Score,Math_Score,Science_Score,English_Score,Final_Score,Performance
34,Male,3,90.9,82.2,49.0,76.0,82.0,65.7,Good
35,Female,7,71.9,94.4,86.0,64.0,79.0,66.3,Good
36,Male,5,72.1,67.0,72.0,86.0,67.0,65.4,Good
37,Female,9,85.3,75.2,84.0,70.0,84.0,74.8,Good
38,Male,7,80.2,96.6,92.0,86.0,66.0,83.0,Very Good
39,Female,2,100.0,63.2,64.0,79.0,63.0,67.1,Good
40,Female,4,60.4,72.8,47.0,61.0,58.0,53.7,Average
41,Male,9,81.3,83.8,82.0,85.0,84.0,86.8,Very Good
42,Male,2,93.6,81.8,78.0,70.0,47.0,72.0,Good
43,Male,10,73.1,100.0,82.0,100.0,88.0,90.1,Excellent
44,Male,9,69.1,94.7,86.0,81.0,90.0,85.4,Very Good
45,Female,10,69.5,96.6,95.0,80.0,81.0,82.9,Very Good
46,Male,5,60.7,72.6,71.0,62.0,71.0,63.9,Good
47,Female,2,96.2,78.3,87.0,48.0,66.0,62.9,Good
48,Male,4,76.0,79.5,53.0,75.0,59.0,63.0,Good
49,Female,7,74.6,94.7,66.0,72.0,64.0,74.2,Good
50,Male,8,54.5,80.6,64.0,74.0,64.0,73.4,Good
51,Male,3,62.8,70.4,55.0,68.0,62.0,59.7,Average
52,Female,1,97.6,64.1,69.0,56.0,59.0,65.1,Good
53,Male,4,83.6,68.4,57.0,76.0,79.0,57.7,Average
54,Male,2,94.0,71.2,73.0,53.0,70.0,64.9,Good
55,Male,8,92.5,87.7,85.0,95.0,90.0,87.4,Very Good
56,Male,4,68.0,82.4,52.0,68.0,66.0,68.8,Good
57,Male,2,100.0,66.1,45.0,64.0,54.0,59.5,Average
58,Female,6,100.0,91.9,64.0,81.0,80.0,79.6,Very Good
59,Male,6,73.2,77.5,66.0,60.0,72.0,69.0,Good
60,Female,10,40.0,92.2,78.0,81.0,65.0,75.1,Very Good
61,Male,4,75.7,70.7,78.0,65.0,77.0,77.8,Very Good
62,Male,6,82.9,74.7,83.0,63.0,84.0,67.0,Good
63,Female,2,73.2,70.2,48.0,51.0,46.0,52.3,Average
64,Female,10,77.3,97.4,93.0,88.0,79.0,92.7,Excellent
65,Female,2,70.1,67.8,72.0,51.0,52.0,52.0,Average
66,Female,10,91.1,99.3,100.0,69.0,94.0,93.4,Excellent
67,Female,4,80.8,65.6,63.0,78.0,71.0,66.2,Good
68,Male,8,91.4,100.0,94.0,84.0,82.0,89.2,Very Good
69,Female,7,94.7,97.6,96.0,60.0,82.0,79.8,Very Good
70,Female,9,53.9,84.9,64.0,100.0,64.0,79.2,Very Good
71,Male,8,70.8,90.3,75.0,93.0,81.0,80.9,Very Good
72,Male,5,72.5,86.5,90.0,66.0,66.0,78.5,Very Good
73,Female,2,100.0,69.3,60.0,56.0,57.0,63.1,Good
74,Female,5,81.8,78.0,41.0,75.0,54.0,57.2,Average
75,Female,8,89.8,96.4,83.0,87.0,81.0,87.5,Very Good
76,Male,10,57.4,90.7,96.0,90.0,84.0,85.3,Very Good
77,Female,9,81.7,100.0,86.0,78.0,66.0,81.4,Very Good
78,Male,9,91.7,97.6,96.0,100.0,85.0,93.0,Excellent
79,Male,1,90.3,60.3,66.0,54.0,59.0,64.3,Good
80,Male,9,87.5,100.0,84.0,95.0,78.0,90.0,Excellent
81,Male,7,80.2,78.9,73.0,71.0,80.0,74.9,Good
82,Female,9,80.7,100.0,88.0,100.0,81.0,87.4,Very Good
83,Male,8,59.7,99.6,79.0,84.0,77.0,75.0,Very Good
84,Male,1,69.2,65.4,52.0,82.0,59.0,62.4,Good
85,Female,8,82.8,96.1,84.0,91.0,85.0,84.3,Very Good
86,Male,8,71.4,92.9,72.0,75.0,87.0,70.7,Good
87,Female,3,88.3,70.2,72.0,74.0,68.0,65.7,Good
88,Male,1,85.6,67.8,61.0,66.0,52.0,67.5,Good
89,Female,8,96.4,88.7,73.0,90.0,76.0,79.5,Very Good
90,Male,3,91.5,78.9,61.0,73.0,54.0,70.2,Good
91,Male,3,82.7,79.6,64.0,72.0,65.0,66.5,Good
92,Female,1,89.0,63.2,51.0,48.0,71.0,62.2,Good
93,Male,5,92.1,78.3,79.0,63.0,68.0,77.3,Very Good
94,Male,10,73.9,88.8,88.0,81.0,89.0,82.4,Very Good
95,Female,7,76.0,98.7,79.0,79.0,67.0,69.9,Good
96,Male,10,78.8,95.6,86.0,87.0,87.0,79.8,Very Good
97,Male,9,74.3,93.0,65.0,75.0,94.0,75.0,Very Good
98,Female,7,92.2,93.5,61.0,89.0,85.0,87.2,Very Good
99,Female,9,72.5,96.4,90.0,87.0,65.0,81.5,Very Good
100,Female,8,95.0,100.0,88.0,88.0,88.0,90.1,Excellent
101,Female,2,75.6,63.9,61.0,56.0,64.0,65.3,Good
102,Female,1,85.7,56.3,57.0,53.0,59.0,57.3,Average
103,Male,7,82.0,78.0,81.0,71.0,83.0,78.5,Very Good
104,Female,7,68.3,80.4,85.0,85.0,65.0,80.6,Very Good
105,Male,8,79.8,84.3,86.0,75.0,80.0,82.1,Very Good
106,Female,5,84.0,78.6,81.0,74.0,81.0,77.4,Very Good
107,Male,3,79.2,82.3,64.0,80.0,73.0,68.6,Good
108,Male,8,63.9,85.0,75.0,75.0,81.0,76.7,Very Good
109,Female,6,100.0,86.0,81.0,89.0,68.0,86.1,Very Good
110,Male,3,81.1,72.1,54.0,69.0,52.0,67.8,Good
111,Male,1,70.5,58.4,48.0,57.0,55.0,54.2,Average
112,Female,3,99.4,76.3,69.0,73.0,69.0,74.8,Good
113,Female,5,87.4,86.2,73.0,72.0,70.0,74.8,Good
114,Female,3,65.6,75.5,57.0,60.0,51.0,57.6,Average
115,Female,1,67.5,68.9,37.0,47.0,58.0,50.6,Average
116,Male,5,77.3,95.8,76.0,71.0,70.0,79.1,Very Good
117,Male,10,83.6,100.0,99.0,85.0,89.0,88.6,Very Good
118,Male,7,87.5,100.0,96.0,91.0,83.0,84.6,Very Good
119,Male,7,91.4,84.6,85.0,64.0,75.0,75.5,Very Good
120,Male,9,86.5,100.0,88.0,93.0,79.0,89.4,Very Good
121,Male,10,96.2,100.0,84.0,97.0,100.0,97.5,Excellent
122,Female,10,81.5,98.1,100.0,93.0,78.0,87.9,Very Good
123,Male,3,70.9,68.8,62.0,71.0,56.0,53.1,Average
124,Male,7,80.0,86.3,80.0,76.0,88.0,78.7,Very Good
125,Male,1,79.2,64.5,51.0,58.0,50.0,53.9,Average
126,Female,4,49.1,63.6,55.0,42.0,58.0,47.2,Average
127,Female,4,73.3,81.0,71.0,61.0,60.0,63.0,Good
128,Female,5,83.8,76.5,61.0,81.0,52.0,70.9,Good
129,Female,7,74.9,92.0,93.0,64.0,73.0,79.0,Very Good
130,Male,7,72.2,98.3,90.0,78.0,64.0,81.2,Very Good
131,Male,4,90.9,75.9,65.0,63.0,71.0,66.7,Good
132,Male,7,69.0,91.6,67.0,75.0,84.0,72.2,Good
133,Female,3,88.5,78.6,44.0,59.0,42.0,53.1,Average
134,Male,6,64.0,98.0,57.0,58.0,65.0,65.8,Good
135,Male,2,100.0,69.0,70.0,68.0,68.0,63.5,Good
136,Male,10,77.4,100.0,93.0,89.0,63.0,92.1,Excellent
137,Female,9,76.1,82.0,90.0,91.0,95.0,91.4,Excellent
138,Female,5,93.7,79.5,55.0,82.0,76.0,69.9,Good
139,Female,6,75.0,85.6,69.0,86.0,82.0,80.9,Very Good
140,Male,4,97.5,91.5,84.0,73.0,64.0,82.0,Very Good
141,Male,10,84.5,91.3,90.0,100.0,82.0,89.7,Very Good
142,Male,7,78.6,93.9,65.0,68.0,74.0,71.2,Good
143,Male,9,77.3,94.8,84.0,95.0,100.0,96.6,Excellent
144,Female,7,94.5,79.5,74.0,87.0,92.0,91.7,Excellent
145,Male,1,82.8,66.2,58.0,59.0,58.0,59.3,Average
146,Female,1,85.2,79.0,56.0,62.0,60.0,56.6,Average
147,Male,9,86.5,88.7,93.0,78.0,90.0,85.5,Very Good
148,Female,9,81.6,95.5,74.0,75.0,100.0,87.3,Very Good
149,Male,4,86.2,69.7,63.0,86.0,71.0,68.1,Good
150,Male,9,78.6,91.9,97.0,84.0,82.0,87.2,Very Good
151,Female,3,79.4,83.3,48.0,61.0,59.0,60.4,Good
152,Female,7,66.6,82.5,65.0,64.0,75.0,65.2,Good
153,Male,6,83.6,96.1,77.0,61.0,67.0,77.1,Very Good
154,Male,8,59.4,95.7,80.0,76.0,79.0,81.1,Very Good
155,Male,9,83.4,93.9,82.0,84.0,69.0,89.7,Very Good
156,Female,5,76.6,75.1,66.0,70.0,66.0,71.3,Good
157,Male,1,84.5,58.0,60.0,58.0,64.0,56.2,Average
158,Female,3,67.4,61.4,67.0,85.0,63.0,70.5,Good
159,Male,10,54.6,96.5,73.0,80.0,75.0,81.0,Very Good
160,Male,8,75.8,90.8,85.0,97.0,76.0,89.8,Very Good
161,Male,6,67.4,75.9,86.0,88.0,80.0,78.0,Very Good
162,Male,8,58.6,74.3,75.0,85.0,62.0,69.9,Good
163,Female,9,89.2,99.1,78.0,86.0,72.0,78.1,Very Good
164,Female,4,99.2,77.0,60.0,58.0,61.0,70.7,Good
165,Male,1,70.4,60.0,50.0,58.0,54.0,56.3,Average
166,Male,1,79.1,66.2,64.0,66.0,42.0,55.8,Average
167,Male,10,76.3,79.1,89.0,100.0,94.0,91.5,Excellent
168,Female,4,72.1,61.8,66.0,56.0,55.0,59.7,Average
169,Male,7,88.0,100.0,70.0,78.0,80.0,74.9,Good
170,Female,2,92.1,67.0,71.0,53.0,56.0,62.8,Good
171,Female,3,69.6,49.3,48.0,54.0,60.0,54.1,Average
172,Female,1,80.5,52.5,49.0,63.0,40.0,60.0,Good
173,Female,5,95.4,100.0,80.0,68.0,83.0,77.0,Very Good
174,Male,1,88.3,60.5,36.0,50.0,48.0,41.4,Average
175,Male,8,90.1,100.0,86.0,93.0,71.0,82.1,Very Good
176,Female,1,96.4,69.1,48.0,64.0,83.0,60.5,Good
177,Male,1,96.3,64.2,58.0,63.0,65.0,61.0,Good
178,Male,2,92.3,77.3,58.0,56.0,72.0,59.6,Average
179,Male,2,81.7,49.4,79.0,73.0,64.0,72.1,Good
180,Female,6,75.4,71.3,69.0,74.0,67.0,65.8,Good
181,Male,7,81.2,84.4,97.0,100.0,63.0,86.8,Very Good
182,Male,5,73.6,67.7,74.0,71.0,65.0,77.6,Very Good
183,Male,1,56.6,53.5,40.0,27.0,41.0,40.7,Average
184,Male,1,76.6,70.0,56.0,31.0,46.0,50.7,Average
185,Male,3,84.3,74.1,60.0,71.0,48.0,70.1,Good
186,Male,2,73.0,76.9,59.0,71.0,59.0,68.2,Good
187,Male,5,77.7,81.0,62.0,63.0,84.0,71.8,Good
188,Male,10,78.2,100.0,100.0,100.0,91.0,94.8,Excellent
189,Male,6,96.3,87.6,87.0,96.0,75.0,86.4,Very Good
190,Male,7,75.7,82.2,77.0,80.0,74.0,76.9,Very Good
191,Female,4,96.3,91.9,87.0,77.0,39.0,72.4,Good
192,Male,7,47.5,74.2,71.0,79.0,64.0,70.4,Good
193,Female,8,96.2,98.8,97.0,100.0,68.0,92.6,Excellent
194,Male,1,95.6,74.1,58.0,67.0,61.0,58.8,Average
195,Female,6,90.8,93.4,81.0,79.0,72.0,86.4,Very Good
196,Female,8,55.9,76.7,75.0,83.0,65.0,75.1,Very Good
197,Male,5,92.2,91.5,74.0,79.0,73.0,76.4,Very Good
198,Female,4,79.4,68.0,68.0,76.0,67.0,70.4,Good
199,Female,2,49.6,66.9,44.0,36.0,68.0,52.2,Average
200,Female,6,95.6,92.2,74.0,82.0,83.0,75.2,Very Good
201,Male,6,97.3,94.9,76.0,84.0,78.0,81.2,Very Good
202,Female,1,57.1,48.6,51.0,49.0,41.0,42.1,Average
203,Female,9,82.1,100.0,86.0,95.0,72.0,97.3,Excellent
204,Male,6,96.7,96.9,90.0,98.0,82.0,90.8,Excellent
205,Female,3,94.8,77.2,74.0,68.0,64.0,66.0,Good
206,Female,4,90.0,72.0,67.0,77.0,70.0,85.9,Very Good
207,Female,4,48.2,75.4,72.0,75.0,69.0,66.4,Good
208,Male,3,88.8,75.1,83.0,67.0,49.0,68.5,Good
209,Female,10,77.4,86.0,69.0,80.0,99.0,81.3,Very Good
210,Male,3,92.0,67.8,74.0,73.0,75.0,69.5,Good
211,Female,3,83.1,68.6,56.0,42.0,43.0,53.6,Average
212,Female,4,79.8,88.0,74.0,44.0,89.0,60.9,Good
213,Female,7,87.7,100.0,92.0,84.0,81.0,91.4,Excellent
214,Female,4,77.9,86.1,57.0,43.0,61.0,53.9,Average
215,Male,9,79.7,97.8,67.0,73.0,87.0,76.3,Very Good
216,Female,1,73.3,69.6,61.0,50.0,45.0,57.6,Average
217,Male,8,60.7,78.0,79.0,70.0,80.0,74.3,Good
218,Female,7,86.8,89.8,63.0,79.0,69.0,73.0,Good
219,Male,2,70.3,69.2,81.0,68.0,77.0,67.6,Good
220,Female,8,77.6,82.8,88.0,84.0,79.0,91.6,Excellent
221,Female,1,83.4,66.5,62.0,48.0,63.0,60.8,Good
222,Male,9,55.0,100.0,93.0,93.0,69.0,80.6,Very Good
223,Male,9,57.7,94.9,75.0,66.0,86.0,76.7,Very Good
224,Male,2,76.4,74.4,58.0,61.0,58.0,55.7,Average
225,Male,7,85.5,69.8,66.0,65.0,63.0,74.6,Good
226,Female,10,88.9,100.0,86.0,95.0,85.0,91.2,Excellent
227,Male,3,60.9,65.7,61.0,55.0,78.0,57.9,Average
228,Male,7,87.6,83.8,63.0,91.0,86.0,82.3,Very Good
229,Male,10,77.1,97.9,83.0,96.0,81.0,86.5,Very Good
230,Female,9,69.4,81.5,74.0,78.0,61.0,68.3,Good
231,Female,4,72.2,82.4,65.0,57.0,56.0,63.9,Good
232,Female,1,89.6,63.7,62.0,55.0,44.0,58.4,Average
233,Female,2,83.3,62.9,66.0,79.0,41.0,67.9,Good
234,Male,1,80.6,62.8,64.0,72.0,64.0,65.1,Good
235,Female,5,82.9,89.7,84.0,62.0,70.0,74.9,Good
236,Male,5,91.1,83.8,79.0,82.0,89.0,82.6,Very Good
237,Female,7,78.8,76.4,97.0,61.0,65.0,82.8,Very Good
238,Male,9,80.7,99.9,87.0,82.0,82.0,84.3,Very Good
239,Male,9,93.7,92.0,88.0,80.0,71.0,85.5,Very Good
240,Male,3,76.0,53.8,67.0,73.0,56.0,66.5,Good
241,Male,3,87.4,85.8,62.0,52.0,62.0,64.2,Good
242,Male,3,74.0,74.2,79.0,66.0,57.0,66.5,Good
243,Female,4,75.0,74.1,76.0,66.0,65.0,69.7,Good
244,Male,8,78.8,88.9,89.0,80.0,88.0,84.7,Very Good
245,Male,6,86.2,96.7,77.0,93.0,82.0,91.9,Excellent
246,Male,8,94.3,100.0,82.0,100.0,74.0,86.0,Very Good
247,Male,1,81.2,67.9,61.0,55.0,56.0,55.0,Average
248,Female,8,62.0,79.3,66.0,74.0,83.0,73.0,Good
249,Female,4,87.6,76.7,83.0,54.0,78.0,72.1,Good
250,Male,1,100.0,72.4,57.0,61.0,54.0,61.7,Good
251,Male,8,81.3,73.5,85.0,100.0,86.0,85.4,Very Good
252,Male,4,59.5,73.6,52.0,61.0,65.0,59.6,Average
253,Male,6,82.0,88.0,82.0,83.0,62.0,78.3,Very Good
254,Female,8,80.0,100.0,77.0,68.0,87.0,83.1,Very Good
255,Female,4,79.0,85.5,72.0,63.0,67.0,69.6,Good
256,Male,3,91.3,75.7,72.0,71.0,48.0,67.6,Good
257,Male,9,96.5,100.0,84.0,91.0,83.0,90.8,Excellent
258,Male,3,88.2,90.3,53.0,74.0,65.0,70.2,Good
259,Male,9,78.4,95.8,100.0,80.0,76.0,83.2,Very Good
260,Male,2,93.5,74.7,59.0,45.0,74.0,56.6,Average
261,Female,2,62.1,49.4,56.0,66.0,68.0,65.8,Good
262,Female,2,71.4,54.2,61.0,48.0,53.0,57.3,Average
263,Male,6,72.7,75.5,60.0,78.0,66.0,67.6,Good
264,Female,3,79.6,68.4,67.0,68.0,61.0,65.7,Good
265,Female,9,86.1,88.8,89.0,71.0,82.0,81.3,Very Good
266,Female,4,77.6,75.1,59.0,77.0,59.0,66.9,Good
267,Male,1,69.1,58.0,40.0,47.0,20.0,37.1,Needs Improvement
268,Female,4,91.7,87.5,75.0,71.0,86.0,80.7,Very Good
269,Female,1,77.2,59.5,65.0,52.0,55.0,58.4,Average
270,Male,5,81.2,62.0,72.0,88.0,68.0,74.9,Good
271,Female,4,86.6,78.7,53.0,82.0,71.0,65.6,Good
272,Male,8,80.5,92.0,72.0,64.0,78.0,76.5,Very Good
273,Female,8,80.5,85.2,78.0,100.0,75.0,80.5,Very Good
274,Male,7,92.4,91.9,97.0,75.0,68.0,80.6,Very Good
275,Male,3,81.8,63.8,60.0,85.0,45.0,64.7,Good
276,Female,1,90.4,69.2,52.0,56.0,45.0,65.1,Good
277,Female,1,86.5,86.7,39.0,54.0,46.0,52.9,Average
278,Male,3,100.0,62.6,60.0,66.0,73.0,56.6,Average
279,Male,6,84.9,81.1,63.0,72.0,81.0,70.1,Good
280,Female,7,87.7,84.5,70.0,100.0,69.0,83.3,Very Good
281,Female,6,93.2,83.8,78.0,77.0,49.0,68.6,Good
282,Female,6,80.8,92.4,70.0,72.0,73.0,77.2,Very Good
283,Female,6,72.3,86.4,89.0,74.0,66.0,77.9,Very Good
284,Male,3,74.3,77.4,71.0,52.0,57.0,66.3,Good
285,Male,6,74.4,82.8,67.0,89.0,81.0,75.0,Very Good
286,Male,8,68.6,78.6,70.0,65.0,78.0,69.0,Good
287,Female,2,83.8,60.0,73.0,54.0,50.0,63.0,Good
288,Female,5,72.4,84.1,85.0,78.0,55.0,74.1,Good
289,Male,1,82.3,65.9,33.0,57.0,54.0,50.0,Average
290,Male,1,78.1,73.6,54.0,61.0,46.0,62.6,Good
291,Male,5,79.5,82.2,67.0,86.0,68.0,76.3,Very Good
292,Male,3,86.7,64.2,70.0,75.0,74.0,63.2,Good
293,Male,4,73.5,70.2,84.0,67.0,51.0,71.7,Good
294,Male,3,87.7,78.4,59.0,86.0,65.0,73.1,Good
295,Female,1,98.8,74.4,38.0,54.0,69.0,61.3,Good
296,Male,1,84.1,71.9,61.0,56.0,56.0,55.8,Average
297,Male,5,70.6,69.3,82.0,68.0,74.0,74.2,Good
298,Male,6,72.6,72.5,69.0,72.0,68.0,70.3,Good
299,Male,3,77.0,69.7,54.0,52.0,64.0,54.3,Average
300,Male,9,72.9,100.0,80.0,69.0,85.0,83.8,Very Good
301,Male,5,68.1,71.5,76.0,72.0,61.0,68.5,Good
302,Male,8,81.9,96.1,78.0,77.0,99.0,88.9,Very Good
303,Female,1,77.3,67.0,57.0,74.0,61.0,59.8,Average
304,Male,5,82.3,86.7,71.0,71.0,83.0,69.2,Good
305,Female,3,94.2,88.9,65.0,64.0,76.0,69.5,Good
306,Female,1,77.2,75.8,60.0,66.0,59.0,63.0,Good
307,Female,4,65.8,67.7,58.0,68.0,77.0,63.0,Good
308,Male,5,75.2,62.0,64.0,68.0,70.0,54.2,Average
309,Male,7,89.2,84.9,88.0,74.0,70.0,81.3,Very Good
310,Male,1,88.1,66.6,46.0,94.0,58.0,66.4,Good
311,Male,3,86.2,70.7,55.0,69.0,54.0,64.5,Good
312,Male,2,72.5,81.9,44.0,69.0,37.0,52.8,Average
313,Male,9,89.0,98.4,97.0,78.0,76.0,85.3,Very Good
314,Male,10,91.7,100.0,92.0,87.0,89.0,97.1,Excellent
315,Male,6,71.7,83.7,59.0,94.0,81.0,69.6,Good
316,Male,10,79.5,97.1,98.0,100.0,77.0,91.5,Excellent
317,Male,3,100.0,61.6,61.0,73.0,77.0,70.2,Good
318,Female,8,71.1,89.1,71.0,76.0,65.0,75.7,Very Good
319,Male,8,59.5,100.0,75.0,75.0,65.0,74.9,Good
320,Male,2,96.6,62.2,77.0,57.0,77.0,65.9,Good
321,Male,6,93.6,72.9,73.0,67.0,76.0,78.2,Very Good
322,Female,7,74.5,100.0,82.0,86.0,73.0,81.7,Very Good
323,Male,2,78.6,73.6,65.0,65.0,61.0,57.5,Average
324,Male,10,65.3,97.8,91.0,94.0,70.0,86.9,Very Good
325,Female,2,81.1,79.2,71.0,57.0,56.0,65.7,Good
326,Male,10,94.0,96.8,86.0,96.0,89.0,99.5,Excellent
327,Female,1,73.5,61.5,42.0,50.0,67.0,54.1,Average
328,Female,8,90.5,100.0,74.0,78.0,65.0,71.8,Good
329,Female,1,85.6,82.3,54.0,74.0,75.0,61.2,Good
330,Female,9,86.9,88.4,78.0,89.0,83.0,89.3,Very Good
331,Male,6,74.2,92.8,74.0,78.0,60.0,70.2,Good
332,Female,7,75.7,90.0,78.0,86.0,62.0,71.2,Good
333,Female,10,57.8,95.8,95.0,86.0,83.0,91.0,Excellent
334,Male,7,73.2,86.2,79.0,79.0,61.0,73.2,Good
335,Male,10,94.0,92.4,89.0,83.0,83.0,91.5,Excellent
336,Male,3,68.8,76.9,63.0,52.0,58.0,55.9,Average
337,Female,2,70.6,59.4,45.0,48.0,69.0,59.2,Average
338,Male,9,87.7,89.3,88.0,94.0,94.0,94.4,Excellent
339,Female,8,84.8,100.0,86.0,84.0,74.0,81.2,Very Good
340,Female,10,88.3,100.0,93.0,83.0,85.0,82.8,Very Good
341,Male,7,66.0,85.1,79.0,81.0,57.0,83.2,Very Good
342,Male,9,100.0,100.0,85.0,97.0,66.0,86.6,Very Good
343,Male,4,65.4,83.8,74.0,57.0,50.0,60.3,Good
344,Male,4,81.9,86.9,85.0,67.0,77.0,82.1,Very Good
345,Male,1,78.1,59.3,37.0,61.0,63.0,57.0,Average
346,Male,8,65.8,96.6,66.0,70.0,80.0,78.3,Very Good
347,Female,3,75.6,72.6,61.0,68.0,47.0,60.6,Good
348,Female,7,80.3,100.0,76.0,82.0,69.0,86.2,Very Good
349,Male,2,72.2,65.1,75.0,48.0,49.0,53.8,Average
350,Female,2,91.2,67.9,63.0,65.0,60.0,61.9,Good
351,Female,7,78.1,82.6,91.0,82.0,73.0,83.5,Very Good
352,Female,6,63.9,81.5,49.0,65.0,59.0,65.0,Good
353,Female,3,62.9,71.5,66.0,54.0,62.0,63.3,Good
354,Female,9,87.3,100.0,81.0,78.0,86.0,83.9,Very Good
355,Female,10,62.2,98.3,78.0,81.0,74.0,77.6,Very Good
356,Male,6,83.8,90.3,72.0,76.0,76.0,80.9,Very Good
357,Male,10,85.3,99.5,77.0,86.0,98.0,90.7,Excellent
358,Male,10,68.1,90.0,91.0,72.0,97.0,82.0,Very Good
359,Female,6,90.7,79.0,79.0,71.0,80.0,73.8,Good
360,Male,1,59.4,66.7,52.0,46.0,56.0,49.2,Average
361,Male,4,83.6,80.7,76.0,76.0,64.0,70.3,Good
362,Male,10,79.5,85.0,100.0,96.0,96.0,98.8,Excellent
363,Female,6,78.6,92.4,70.0,83.0,61.0,75.8,Very Good
364,Male,6,65.9,95.5,75.0,64.0,78.0,75.5,Very Good
365,Female,5,68.8,71.5,70.0,70.0,64.0,68.6,Good
366,Male,1,99.4,71.5,63.0,36.0,75.0,61.4,Good
367,Male,8,94.6,91.9,90.0,90.0,88.0,83.4,Very Good
368,Male,5,88.9,87.3,88.0,79.0,70.0,83.4,Very Good
369,Female,5,91.3,73.5,68.0,70.0,69.0,68.4,Good
370,Female,7,90.2,90.0,65.0,84.0,83.0,78.5,Very Good
371,Female,4,76.1,82.9,58.0,51.0,70.0,60.2,Good
372,Female,6,80.6,94.0,82.0,67.0,69.0,76.2,Very Good
373,Female,4,62.3,75.0,62.0,70.0,63.0,66.7,Good
374,Male,3,78.9,69.0,57.0,68.0,71.0,60.6,Good
375,Male,7,94.2,78.8,71.0,78.0,65.0,75.6,Very Good
376,Female,8,72.1,84.0,82.0,89.0,85.0,81.7,Very Good
377,Female,4,92.3,75.3,76.0,72.0,74.0,79.6,Very Good
378,Male,2,81.1,62.7,61.0,55.0,71.0,57.2,Average
379,Female,10,63.4,96.3,83.0,84.0,75.0,77.9,Very Good
380,Male,3,66.7,65.9,60.0,56.0,60.0,57.3,Average
381,Female,1,91.0,68.1,58.0,47.0,60.0,53.9,Average
382,Male,8,86.6,100.0,86.0,97.0,88.0,89.4,Very Good
383,Female,3,81.2,69.0,50.0,58.0,67.0,57.3,Average
384,Female,10,76.7,88.1,91.0,81.0,72.0,83.8,Very Good
385,Male,7,82.5,83.0,74.0,64.0,79.0,78.1,Very Good
386,Male,10,90.6,100.0,100.0,66.0,100.0,90.8,Excellent
387,Female,5,97.7,89.8,76.0,82.0,79.0,81.0,Very Good
388,Female,10,98.3,100.0,100.0,100.0,100.0,95.6,Excellent
389,Male,5,84.5,91.5,68.0,84.0,81.0,77.2,Very Good
390,Female,7,77.9,86.0,75.0,77.0,89.0,77.8,Very Good
391,Male,9,81.8,100.0,100.0,83.0,86.0,93.4,Excellent
392,Male,5,86.3,88.1,76.0,67.0,76.0,71.6,Good
393,Female,1,86.2,45.4,48.0,53.0,60.0,49.9,Average
394,Male,10,95.7,100.0,100.0,100.0,89.0,98.6,Excellent
395,Male,10,100.0,98.9,90.0,95.0,97.0,100.0,Excellent
396,Female,1,77.5,55.1,56.0,59.0,50.0,54.6,Average
397,Male,2,100.0,77.2,81.0,60.0,82.0,75.1,Very Good
